市場,公司,Ticker
US,AAOI,AOI 
US,Arm Holdings Plc,ARM
US,BAE Systems,BA
US,BlackSky Technology ,BKSY
US,Cadence Design System,CDNS
US,Cameco ,CCJ
US,Camtek ,CAMT
US,Ciena Corp ,CIEN
JP,CAPCOM,
JP,IHI,
JP,KONAMI,
JP,SCREEN Holdings ,7735
JP,SKY Perfect JSAT Holdings,
JP,SMC,
JP,Socionext ,6526
JP,Sony,
JP,TokyoElectron 東京威力科創 ,8035
JP,TOWA ,6315
JP,三井住友金融集團,
JP,三井金屬礦業 MitsuiKinzoku ,5706
JP,三菱日聯金融集團,
JP,三菱重工,
JP,三菱商事,
JP,三菱電機,
JP,丸紅 Marubeni ,8002
JP,小松製作所,
JP,川崎重工,
JP,日本電氣硝子,
JP,日立,
JP,任天堂,
JP,住友電木SumitomoBakelite ,4203
JP,住友電工 SEI ,5802
JP,良品計畫  ,7453
JP,東京精密 TOKYO SEIMITSU ,7729
JP,東京應化工業,
JP,東麗,
JP,信越化學工業 ,4063
JP,美科樂 MICRONICS JAPAN ,6871
JP,美蓓亞三美,
JP,迪思科 Disco ,6146
JP,索尼集團,
JP,荏原製作所 Ebara Corp. ,6361
JP,國際電機,
JP,勝高,
JP,富士通,
JP,愛德萬測試,
JP,瑞穗金融集團,
JP,瑞薩電子 Renesas ,6723
JP,雷泰光電,
JP,豪雅股份,
JP,歐姆龍 ,6645
JP,優貝克,
JP,藤倉,
JP,伊藤忠商事,8001
