專家,內容摘要,相關標的
光通訊專家(美系)(亮)Lucas,"半導體產業超過 10 年經驗、熟悉新產品導入（NPI）至量產（MP）、良率改善、客戶需求管理，精通市場需求分析與全球客戶協作（日本、美國、中國）



","美股 : 
Lumentum、Landmark、LITE、AAOI、Luxnet、Truelight、WIN、Elaser、Broadcom、Marvell、Coherent

台股：
穩懋 聯鈞 聯亞"
光通資深專家(亮)-Fiber,"在光通訊光模塊產業超過 25 年以上經驗，歷練R&amp;D工程師,經理,工廠廠長, PM到BU head，成功帶領團隊開發100Mbps到800Gbps各類應用光模塊,成功經營北美第一線 Data Center 客戶 (Meta, AWS, MS, Cisco, Arista等),與世界主要電信設備客戶 (Ericsson, Fujitsu等)。對光通訊光模塊價值鏈(value chain),產品開發與生產技術,以及市場發展動態有深入的了解。
","國內：
前鼎、緯創、明泰、台達、聯亞、華新光、中磊

海外：
Fujitsu, Ericsson, Cisco, Fortinet, Macom, Broadcom, Credo, Semtech,Marvell"
AEC、光通訊專家(亮)-Victor,"資歷：
於光通訊領域耕耘有10年的經驗，包含新創公司，日商，與台資系統廠。
主要擔任產品經理的角色，對外需與客戶對談，調查市場趨勢與需求，對內需做專案管理，技術整合。
過去光通訊收發模組一路進展到近期最新矽光子技術實現共同封裝光學元件（CPO）(OIO)皆有研究涉獵。

現職：
台灣知名系統大廠經理
負責矽光子技術開發與相關產品(光通訊，光電感測器)調查與研究
","國內：
台達電、上銓、智邦、廣達、聯鈞、華星光通、光環、台積電 

海外：
NV、AVGO、Marvell、TSM
"
CPO專家(金)-Luke,"擔任各家上市櫃科技公司顧問，產業24年經驗，擁有世界專利190篇(皆是第一發明人）。量產過Inkjet 晶片、CPO可拆式光纖連結器專利發明人之一。

1. 擔任過先進顯示半導體Array技術、鋰電池、顯示器、人形機器人技術長，並熟悉電動車、半導體產業。
2. 擔任過鴻X集團CPO、O-Fiber技術專利顧問。
3. 世界首創人形機器人AI Eyeball 發明人。
","國內：TSMC、上詮、合聖、波若威。

海外：Corning、Avicena、Intel、Lessenger、Teramount、TE Connectivity和Amphenol。

日本：Sumitomo、Senko、Furukawa。

中國：Meisu、天孚
"
人型機器人專家(金)-Luke,"擔任過鋰電池、顯示器、人形機器人技術長，並熟悉電動車、半導體、顯示器、人形機器人技術與產業，以及Apple 瀏海/動態島實體螢幕第一發明人(專利編號:US8466999)。經歷過日本、英國、中國各家家公司策略投資、 技術投資、購併談判經驗。
擔任各家上市櫃科技公司顧問，產業24年經驗，擁有世界專利190篇(皆是第一發明人）。","海外：
Figure、Tesla、Apptronik、1X、Unitree、UBR、Fourier、Apple
Nidec、Novanta、Allegro、Disney、Tamagawa、Hynix、Micron、xAI
"
人型機器人專家(亮)-Justin,"關注人型機器人、無人載具六年以上經歷，長期與台灣各軍工供應商領導層直接接觸。
資深跨領域戰略分析師，專業建立於能源政策、國家安全與國際科技戰略的深度融合。
專精於剖析新興科技對全球供應鏈的衝擊，為公私企業評估並強化在Ai及人形機器人、無人機、低軌衛星、海底電纜、新能源等領域的供應鏈韌性。
於國防創新領域，直接參與AI與軍民兩用技術的國際合作評估。
","國內：
上銀、台達電、和大

海外：
Tesla, Agility Robotics, NVIDIA, Harmonic Drive, Nabtesco, Unitree, Ouster
"
無人機專家(亮)-Justin,"關注人型機器人、無人載具六年以上經歷，長期與台灣各軍工供應商領導層直接接觸。
資深跨領域戰略分析師，專業建立於能源政策、國家安全與國際科技戰略的深度融合。
專精於剖析新興科技對全球供應鏈的衝擊，為公私企業評估並強化在Ai及人形機器人、無人機、低軌衛星、海底電纜、新能源等領域的供應鏈韌性。
於國防創新領域，直接參與AI與軍民兩用技術的國際合作評估。
","國內:
鴻海 、廣達 、緯創 、英業達 、仁寶 、和碩 、聯發科 、聯華電子、 漢翔 、龍德造船 、雷虎科技 、經緯航太 、中光電、中鼎 、神通資訊科技、創未來科技 、智飛科技
海外：
Nvidia、AMD、Intel、Apple、Microsoft 、Meta、PLTR、GRMN、
HII、GD、ASB.AX、FCT.MI、AVAV、KTOS、GEV
"
AI晶片伺服器龍頭專家(亮)-James,"在PC、 AI伺服器產業擁有豐富經驗 ，熟悉產品為AI伺服器產品線。(Dell PowerEdge XE系列、伺服器陣列顯示卡 H100/B100、處理器/顯示卡二合一模組等)。
對data center 於硬體、韌體與的應用與組成有深入的了解。
曾任伺服器系統資安加密信任鍊開發工程師。

25Q4-26最新更新重點
1. VR200 Bring up timeline
2. VR Cordelia is back
3. 800V power Delivery breakdown.
4. VR PDB changes and PSU and its vendors review 
5. VR CoWoS
6.VR Rubin最新設計最新增減
7.Kyber最新進度及設計擺放
8.Dynamo Gpu Planner","國內 :
鴻海、廣達、緯創、緯穎、技嘉、華碩、雙鴻、奇鋐、高力、聯發科

海外 :
NV、SMC、PLTR、C3 ai、Atos SE、HPE、DELL、MCHP"
美系伺服器大廠專家(亮)-Super,"在伺服器相關產業超過 15 年以上經驗，曾經處理過北美第一線 Data Center 客戶 (Meta, Google, CoreWeave, Oracle, Rackspace)。對GPU server於硬體上的應用與組成有深入的了解。
","國內：
廣達、英業達、緯創、緯穎、技嘉、雙鴻、奇鋐、高力

海外：
SMIC、Nvidia、AMD、Intell
"
電源專家(亮)-Jay,"在伺服器電源設計與BBU備援系統設計超過15年以上經驗, 過去與目前開發合作的客戶包含DELL, HPE, Lenovo, Google, Quanta, Supermicro and Amazon
","國內: 
AES-KY, 鴻海, 廣達, 台達, Aspeed

海外: 
Google, AEI, Supermicro and Amazon
"
